Geno,Height (HT),Leaf area (LA),Leaf aspect ratio (AR),Leaf dry weight (LD),Leaf length (LL),Leaf perimeter (LP),Leaf width (LW),Petiole diameter (PD),Petiole length (PL),Specific leaf area (SL),Stomatal density (SD),Carbon isotope (CI),Leaf water potential (WP),SPAD2014 (SPAD)
BESC-100,3.255675609,131.3616382,1.684476203,1.128570301,16.30360984,50.15199817,9.763441711,3.603989955,43.7095129,126.1399566,126.3413366,-25.53205778,0.554588463,40.19195556
BESC-101,3.47527034,155.093767,1.792957648,1.344959159,18.58517017,57.32811895,10.52004442,4.111578428,54.01266895,116.5279054,124.1994847,-25.45129171,0.436001703,42.96479798
BESC-102,3.653373961,163.9063165,1.662976157,1.411403728,18.36613062,57.20651315,11.10161407,4.058839455,44.81745134,116.3906258,107.0471226,-25.31038418,0.433400729,41.14834987
BESC-103,3.498507068,153.7772949,1.915439092,1.293093628,18.94265118,57.27546974,10.1778143,3.729384418,48.58930354,119.2077645,121.3304739,-25.52919104,0.569193969,41.71169852
BESC-105,3.120749019,151.8571982,1.645168803,1.228778164,17.6129386,54.99395684,10.7356118,3.796155988,46.28411724,126.4855898,120.1398393,-25.20722819,0.56565336,38.72604974
BESC-106,3.658324636,160.1252712,1.990309828,1.241954259,19.38325527,58.28884294,10.22810445,3.613317106,42.00203275,128.1322828,109.4726643,NA,0.470364144,39.22272064
BESC-107,3.750293086,NA,NA,1.156836071,NA,NA,NA,NA,NA,NA,111.5314028,-24.98286503,0.508866584,NA
BESC-108,3.597502119,139.7861494,1.911001477,1.162506177,17.96636423,54.834152,9.745208749,3.747079165,38.14218633,120.9104722,113.5979256,-25.23304473,0.51965434,41.04904087
BESC-109,3.221198386,112.8193496,1.892348278,0.937357079,15.72606826,47.35532834,8.587499522,3.216113598,32.96021386,123.0637663,109.5703482,-25.60983528,0.524945788,38.28089173
BESC-11,3.314695325,161.0780566,1.523663293,1.36717659,17.58206659,56.77561741,11.4381626,3.72772375,48.35091478,118.9570521,NA,NA,0.549425924,40.96601383
BESC-110,3.364457134,130.0876561,1.653938671,1.203585193,16.22890082,51.19799092,9.817616235,3.485506822,43.32590656,108.8322859,111.2465595,NA,0.521523914,40.5008264
BESC-112,3.78776134,155.7964352,1.720406637,1.280094747,18.49290288,57.76163994,10.69260384,3.731305453,50.49931656,122.3395445,103.8562258,-25.24096641,0.567237507,39.04024577
BESC-113,3.546511189,148.4671241,1.729736061,1.258286436,17.95455577,55.48606524,10.40016986,3.70009512,37.57855117,120.1505458,127.5256989,-25.50147968,0.534180661,41.34060071
BESC-116,3.222882622,138.4981796,1.895242226,1.233930721,17.64344666,53.26879863,9.701437901,3.712194149,46.38309616,114.2741832,113.6014737,-25.19619368,0.550251458,41.17387054
BESC-117,3.770013566,169.5585278,1.59387226,1.520068051,18.31044627,58.65256669,11.54682283,3.92890361,50.10692189,115.3908543,124.296454,NA,0.487795343,41.15574744
BESC-118,3.129512282,156.5128769,1.670618263,1.357224574,17.9769268,55.97502518,10.82935779,3.9431233,59.94821604,115.958741,109.6222572,-25.19383412,0.490431926,41.29873678
BESC-120,3.758451025,173.3738898,1.800915631,1.491942991,19.61779647,61.25206365,11.09500425,4.068148363,46.71936817,116.6142448,126.9464899,-24.7876099,0.508730474,40.78713044
BESC-121,3.202271879,131.9307052,1.702730018,1.091718773,16.61317331,50.96754472,9.754835009,3.380302181,47.01593109,126.4707365,120.329512,-25.55487449,0.511756779,38.15203953
BESC-123,3.529226312,174.253012,1.638473038,1.549980709,18.85438896,60.28538078,11.55506226,4.307645612,53.29188926,115.1953057,NA,-25.51022989,0.537702391,41.65797173
BESC-124,3.330343529,121.1136238,1.803672918,1.112548804,15.71294862,48.31131976,8.941240672,3.447192675,34.15835017,112.5275193,106.8120181,NA,0.59324015,36.71599337
BESC-125,3.595614188,127.9233066,2.351870303,1.138135742,17.90772638,52.68339962,8.870439861,3.642650667,39.63792688,114.9873257,94.10205647,-25.23776084,0.527849005,40.23732352
BESC-126,3.298355673,147.9413715,1.711126686,1.127803286,17.67758118,55.97525644,10.42357975,3.523548237,53.69496952,118.7907425,132.1223518,-25.46759936,0.495052812,38.85508472
