Geno,JGIname
BESC-100,300661_407458
BESC-101,852_1015214
BESC-102,300661_403456
BESC-103,300661_403457
BESC-105,201782_402703
BESC-106,852_1008944
BESC-107,852_1015217
BESC-108,852_1008947
BESC-109,852_1003151
BESC-11,852_1008836
BESC-110,852_1008950
BESC-112,300661_405221
BESC-113,300661_405222
BESC-116,852_1015220
BESC-117,300661_405224
BESC-118,852_1015223
BESC-12,852_1008839
BESC-120,300661_407464
BESC-121,852_1008953
BESC-123,852_1008956
BESC-124,300661_407466
BESC-125,300661_405225
BESC-126,852_1003154
BESC-127,852_1008959
BESC-128,852_1008962
BESC-129,300661_403459
BESC-13,300661_407433
BESC-130,300661_407467
BESC-131,852_1008965
BESC-133,300661_405226
BESC-134,300661_407468
BESC-135,852_1015232
BESC-136,300661_405199
BESC-137,300661_405207
BESC-138,300661_407470
BESC-139,300661_407471
BESC-14,300661_403446
BESC-140,300661_405215
BESC-141,852_1008968
BESC-142,852_1008971
BESC-143,852_1008974
BESC-144,852_1003157
BESC-145,300661_407472
BESC-146,852_1008977
BESC-147,300661_407473
BESC-148,852_1003160
BESC-149,852_1008980
BESC-15,201782_402702
BESC-151,852_1003163
BESC-152,300661_403460
BESC-153,852_1008983
BESC-154,300661_405070
BESC-155,300661_405071
BESC-156,852_1008986
BESC-157,300661_405227
BESC-158,852_1003166
BESC-159,852_1008989
BESC-161,852_1008995
BESC-162,300661_405072
BESC-163,300661_403461
BESC-164,852_1003169
BESC-165,852_1008998
BESC-166,300661_405229
BESC-167,852_1009001
BESC-168,852_1009004
BESC-169,300661_407475
BESC-17,852_1008842
BESC-170,300661_405073
BESC-172,300661_405231
BESC-173,300661_407476
BESC-174,300661_405232
BESC-175,300661_405233
BESC-176,300661_405074
BESC-177,852_1003172
BESC-178,852_1009010
BESC-179,300661_405075
BESC-18,852_1008845
BESC-182,300661_405235
BESC-183,300661_405076
BESC-185,852_1009016
BESC-186,300661_405077
BESC-187,852_1009019
BESC-188,852_1009022
BESC-189,300661_405078
BESC-19,300661_405206
BESC-190,300661_407478
BESC-191,852_1003178
BESC-192,852_1003181
BESC-193,300661_405236
BESC-195,300661_407479
BESC-196,300661_403462
BESC-197,852_1003184
BESC-198,852_1009028
BESC-199,300661_407480
BESC-2,300661_405198
BESC-20,852_1008848
BESC-200,852_1009031
BESC-201,300661_407481
BESC-202,852_1009034
BESC-203,852_1003187
BESC-204,852_1003190
BESC-205,300661_405079
BESC-206,852_1003193
BESC-207,300661_405080
BESC-208,300661_405238
BESC-209,300661_407482
BESC-21,300661_405214
BESC-210,300661_407483
BESC-211,300661_405239
BESC-212,852_1003196
BESC-213,300661_407484
BESC-214,852_1003199
BESC-216,852_1009040
BESC-217,852_1009043
BESC-218,852_1015235
BESC-22,300661_407434
BESC-220,300661_405081
BESC-222,300661_405082
BESC-223,852_1009046
BESC-225,300661_407486
BESC-226,300661_405083
BESC-227,300661_405084
BESC-228,852_1009052
BESC-229,300661_405241
BESC-230,300661_407487
BESC-231,300661_407488
BESC-234,300661_407490
BESC-235,852_1009055
BESC-236,852_1003208
BESC-237,852_1009058
BESC-238,852_1009061
BESC-239,300661_405242
BESC-24,300661_407435
BESC-240,300661_407491
BESC-242,300661_407492
BESC-243,300661_405243
BESC-246,201782_400577
BESC-247,852_1009070
BESC-248,852_1009073
BESC-249,300661_405117
BESC-25,852_1008854
BESC-250,300661_407493
BESC-251,852_1009076
BESC-253,852_1009079
BESC-254,852_1009082
BESC-255,300661_407495
BESC-256,852_1009085
BESC-257,852_1009088
BESC-259,300661_407496
BESC-26,300661_407436
BESC-260,300661_407497
BESC-261,300661_405244
BESC-262,852_1009091
BESC-263,300661_407498
BESC-264,852_1009094
BESC-267,300661_405086
BESC-268,852_1009097
BESC-269,852_1003214
BESC-27,852_1003106
BESC-270,852_1009100
BESC-271,300661_407501
BESC-273,300661_403464
BESC-274,852_1003217
BESC-275,300661_405087
BESC-276,300661_405216
BESC-277,852_1003220
BESC-278,300661_405245
BESC-279,300661_405246
BESC-28,852_1008857
BESC-281,852_1009106
BESC-282,300661_407502
BESC-283,300661_405247
BESC-284,852_1003223
BESC-286,300661_407503
BESC-288,852_1003226
BESC-289,300661_407505
BESC-29,852_1008860
BESC-290,300661_403465
BESC-291,300661_405089
BESC-292,852_1003229
BESC-294,852_1009112
BESC-295,852_1009115
BESC-296,300661_403466
BESC-297,300661_407506
BESC-298,852_1009118
BESC-299,852_1003232
BESC-3,852_1008827
BESC-30,300661_407437
BESC-300,300661_407507
BESC-302,300661_407508
BESC-303,300661_403467
BESC-304,852_1009121
BESC-305,852_1009124
BESC-306,300661_405251
BESC-307,852_1009127
BESC-308,852_1009130
BESC-31,852_1008863
BESC-311,852_1009136
BESC-312,852_1009139
BESC-313,201782_400578
BESC-314,300661_403468
BESC-315,300661_407509
BESC-316,852_1003235
BESC-318,300661_403469
BESC-319,300661_403470
BESC-320,300661_407511
BESC-321,852_1003238
BESC-322,852_1009142
BESC-323,300661_405202
BESC-324,300661_407512
BESC-325,300661_407513
BESC-327,852_1003241
BESC-328,300661_405210
BESC-33,852_1008869
BESC-330,852_1003244
BESC-331,300661_407515
BESC-332,300661_403471
BESC-333,852_1009145
BESC-334,300661_407516
BESC-335,300661_407517
BESC-336,852_1009148
BESC-337,300661_407518
BESC-338,300661_403473
BESC-339,852_1009151
BESC-34,300661_407438
BESC-340,300661_405217
BESC-341,852_1009154
BESC-342,852_1003247
BESC-344,852_1003250
BESC-345,852_1009157
BESC-346,300661_405253
BESC-347,300661_407519
BESC-348,300661_407520
BESC-349,300661_403474
BESC-35,852_1008872
BESC-350,300661_407521
BESC-351,300661_403475
BESC-352,852_1009160
BESC-353,852_1009163
BESC-354,300661_407522
BESC-355,852_1009166
BESC-357,852_1009172
BESC-359,852_1009178
BESC-36,852_1008875
BESC-360,300661_405254
BESC-361,852_1009181
BESC-362,852_1009184
BESC-363,852_1003253
BESC-364,852_1009187
BESC-365,852_1003256
BESC-366,201782_402704
BESC-367,852_1009190
BESC-368,300661_407523
BESC-369,300661_407524
BESC-37,300661_407439
BESC-370,300661_405255
BESC-371,300661_405256
BESC-372,852_1015238
BESC-373,852_1009193
BESC-374,852_1009196
BESC-375,300661_405257
BESC-376,852_1003259
BESC-378,852_1003262
BESC-38,852_1003109
BESC-380,300661_405258
BESC-381,852_1009202
